time,01H,01V,06H,06V,10H,10V,19H,19V,37H,37V
2014-12-12,194.87999,235.29999,198.7,225.59999,216.4,237.79999,232.0,255.2,241.59999,260.8
2014-12-14,198.65999,233.37,204.4,227.29999,217.29999,239.9,233.79999,255.9,242.4,260.69998
2014-12-15,,,202.0,225.09999,214.29999,237.59999,230.7,252.9,239.59999,257.8
2014-12-16,198.47,229.56,184.2,211.29999,193.09999,219.9,200.2,224.79999,214.29999,234.4
2014-12-19,199.56999,232.70999,197.2,222.2,214.7,235.7,237.5,254.9,247.9,261.5
2014-12-20,194.34,230.76999,225.59999,244.0,240.5,256.1,244.7,265.6,243.9,263.9
2014-12-21,198.08,232.95999,233.29999,251.79999,240.7,260.8,237.29999,265.1,235.9,261.8
2014-12-22,203.01999,235.67,236.4,254.0,240.7,259.5,234.59999,263.5,225.4,257.9
2014-12-23,206.92,240.45,237.0,256.1,243.29999,261.8,239.79999,265.0,229.2,261.9
2014-12-24,205.14,236.0,242.29999,258.4,246.59999,262.19998,242.2,263.6,226.7,257.9
2014-12-25,200.87999,234.4,241.09999,258.69998,243.4,261.4,236.29999,261.0,217.79999,250.4
2014-12-26,211.4,240.12,240.2,257.19998,243.5,260.5,234.09999,260.8,216.9,252.0
2014-12-27,211.29999,238.51999,239.5,255.4,242.4,258.9,231.5,257.0,210.79999,239.4
2014-12-28,,,238.09999,252.7,241.09999,256.6,230.4,255.5,211.29999,234.5
2014-12-29,211.73,235.45999,241.0,254.29999,246.0,258.69998,240.29999,259.6,223.7,246.79999
2014-12-30,209.28,236.14,236.5,249.4,243.7,255.5,241.5,258.69998,222.09999,240.29999
2014-12-31,209.98999,236.98,233.59999,246.29999,240.09999,250.9,246.0,261.9,237.2,253.29999
2015-01-01,209.59999,234.93999,240.79999,252.9,247.09999,258.0,242.79999,259.0,228.4,244.5
2015-01-02,,,242.7,254.0,247.79999,258.3,242.2,259.19998,227.9,243.7
2015-01-03,211.95,236.95999,240.9,253.09999,245.09999,256.69998,244.7,260.19998,237.79999,252.5
2015-01-04,214.62,240.45,241.5,253.4,245.7,257.3,241.29999,258.0,228.7,244.2
2015-01-05,212.03,237.08,243.0,255.0,245.79999,257.1,242.5,259.5,232.4,248.5
2015-01-06,214.87999,237.34,229.2,243.0,233.7,246.2,234.5,252.7,217.2,231.5
2015-01-07,,,241.79999,253.7,247.09999,257.4,251.29999,261.3,246.5,253.5
2015-01-08,215.26,240.23999,241.79999,253.0,248.2,257.8,244.0,256.3,221.4,229.9
2015-01-09,214.14,238.87999,225.79999,239.7,234.29999,246.5,236.2,250.2,211.59999,219.9
2015-01-10,217.23,240.97,229.79999,243.09999,237.5,248.9,241.2,254.2,218.79999,227.2
2015-01-11,211.37999,233.68,212.4,228.2,220.29999,234.09999,225.4,241.79999,211.59999,218.5
2015-01-13,207.84999,233.31999,211.59999,227.9,215.7,229.4,221.5,237.09999,206.0,213.0
2015-01-14,217.97,239.26,221.09999,235.29999,236.09999,247.29999,245.2,255.4,226.79999,234.9
2015-01-15,,,204.59999,221.5,219.2,233.59999,226.09999,240.5,203.5,212.2
2015-01-16,207.54,231.53,206.79999,223.29999,221.59999,235.29999,232.59999,246.4,217.29999,225.59999
2015-01-17,204.31999,234.36,186.7,209.9,197.09999,219.0,207.0,225.4,214.0,224.7
2015-01-18,200.06999,234.04,209.0,241.5,226.5,250.79999,249.7,267.1,252.5,267.6
2015-01-19,205.04,232.98999,225.4,241.4,231.2,248.2,250.5,266.69998,250.09999,263.19998
2015-01-29,204.69,230.19,178.4,203.2,181.2,205.0,175.4,195.2,175.2,185.8
2015-01-30,,,174.5,199.9,177.9,202.7,174.2,195.5,176.9,188.5
2015-02-24,202.26,230.15999,180.5,206.7,190.8,214.9,203.8,224.9,214.0,230.79999
2015-11-27,,,175.5,203.59999,181.0,209.0,183.4,208.79999,202.5,225.29999
2015-12-01,197.76,230.48,177.09999,205.0,182.8,210.4,188.7,212.7,207.5,228.59999
2015-12-05,193.78,229.31999,175.59999,204.3,183.7,212.7,186.9,212.79999,204.2,227.79999
2015-12-10,195.51,231.90999,182.5,210.2,192.9,218.09999,200.0,224.09999,217.09999,238.7
2015-12-11,199.3,232.06999,194.4,220.79999,211.79999,234.4,226.7,250.4,240.5,259.69998
2015-12-16,200.56,230.68,183.59999,209.2,194.09999,219.09999,201.7,223.09999,216.7,237.09999
2015-12-17,194.11,233.20999,197.59999,221.0,213.7,234.7,221.5,242.59999,232.7,251.9
2015-12-18,199.5,234.64,208.2,230.59999,228.0,244.09999,240.29999,260.19998,247.9,263.4
2015-12-19,199.73,232.89,225.59999,241.7,238.5,255.0,242.79999,265.9,247.0,264.9
2015-12-20,,,235.2,252.09999,244.59999,260.4,248.7,268.4,246.9,265.5
2015-12-21,199.73999,232.93999,223.59999,241.2,236.7,254.7,245.59999,265.69998,242.5,261.3
2015-12-22,202.36,235.95999,224.79999,241.0,235.0,250.29999,245.0,265.0,247.5,262.0
2015-12-23,198.11,232.12,209.79999,228.5,221.4,239.7,228.29999,246.7,230.7,245.2
2015-12-28,197.37999,233.06,208.79999,230.59999,222.5,241.9,240.4,259.0,248.9,262.1
2015-12-29,200.65999,232.62999,212.79999,236.29999,226.29999,245.7,246.2,264.6,247.79999,264.19998
2015-12-30,198.39,231.51999,232.29999,247.79999,236.0,253.59999,248.09999,266.3,244.7,262.0
2015-12-31,199.64,235.34999,225.0,245.09999,233.29999,253.79999,243.9,263.69998,236.2,253.7
2016-01-01,200.12,233.68,219.0,239.9,231.7,251.9,244.59999,262.8,238.79999,255.59999
2016-01-02,198.76999,232.79999,226.7,246.9,239.29999,258.3,244.2,264.4,239.59999,258.9
2016-01-03,204.51999,233.08,230.79999,249.9,239.79999,259.4,240.9,264.0,236.2,258.69998
2016-01-05,201.94,236.06,223.5,243.79999,234.29999,254.59999,236.79999,261.1,229.59999,250.2
2016-01-06,210.37,236.53,199.8,222.2,215.4,238.09999,226.4,250.09999,220.7,240.59999
2016-01-07,,,194.2,216.79999,205.4,228.0,211.9,235.7,210.79999,230.5
2016-01-08,201.65,232.29999,223.7,240.4,238.7,253.09999,247.5,262.69998,240.09999,253.4
2016-01-09,202.3,233.7,195.59999,216.09999,211.2,228.5,230.9,245.2,235.59999,246.0
2016-01-10,199.70999,234.03,228.7,251.2,244.7,259.4,253.5,266.9,248.29999,263.19998
2016-01-11,204.62,233.62,226.9,244.2,239.79999,253.9,251.09999,266.4,243.7,258.69998
2016-01-13,202.4,233.01,236.9,252.2,244.2,255.4,253.59999,265.69998,248.09999,258.6
2016-01-14,203.18,237.65999,223.5,240.0,235.09999,248.9,248.79999,263.0,235.59999,247.09999
2016-01-15,202.61,234.79999,209.7,229.9,223.7,240.29999,237.0,251.59999,224.0,236.0
2016-01-16,201.86,232.65999,198.5,220.29999,211.4,230.4,224.09999,239.29999,218.2,229.09999
2016-01-21,199.47,233.54999,197.8,220.7,217.79999,236.79999,242.7,256.3,245.59999,255.59999
2016-01-23,197.42,233.62,198.09999,221.5,216.29999,237.2,239.5,253.2,238.4,250.9
2016-01-24,198.65999,232.18,188.5,213.7,204.3,227.9,222.09999,237.79999,221.59999,235.7
2016-01-28,197.31999,231.19,190.0,214.7,205.5,228.2,222.5,239.5,224.7,237.59999
2016-01-29,199.69,233.45,219.09999,239.2,236.5,253.79999,249.59999,264.8,248.79999,260.8
2016-01-30,,,184.8,209.59999,197.0,220.5,218.0,235.0,229.0,241.79999
