,06H,06V,10H,10V,19H,19V,37H,37V,weight,drysp,depth
0,228.1348966375673,260.8211859532481,231.89237831335396,262.6647365389217,236.44034218197194,264.7253092015931,239.3201781281093,265.93377703369765,100,0,0.0
1,235.2998044429041,260.39217847343014,237.47846168739588,262.34253744254784,240.06642434331124,264.54953749353757,240.37133690321343,264.8118401802851,100,0,0.1
2,235.19342319298943,260.19432717087386,237.37106430085672,262.1764661966155,240.08553226703862,264.50857355468537,239.40402721618312,263.90384159341215,100,0,0.2
3,235.02243755249822,260.085436407899,237.3143327319439,262.0549144212645,240.02051313052445,264.48364690967844,238.63808079511654,263.15888248490734,100,0,0.30000000000000004
4,234.78076401238766,259.7678442108113,237.20340477956933,261.8516140065036,239.93471685524204,264.30983441444715,237.7319056142261,262.194006673513,100,0,0.4
5,234.79867545296025,259.7200248310852,237.13914686549634,261.84369532813133,240.09439428860088,264.4332930621725,237.43929883112344,262.0167361953317,100,0,0.5
6,234.83081154116695,259.67764171400904,237.0589051548181,261.70123770594824,240.208164281085,264.4854094139207,237.04669478439723,261.61153011748536,100,0,0.6000000000000001
7,234.72275755527,259.58634326209796,237.15303954661886,261.73460483285737,240.32198839877518,264.5300941084905,236.71478441415647,261.2543885276577,100,0,0.7000000000000001
8,234.53596489494825,259.6124755527963,235.65106948389746,259.8207829167981,240.06454143686204,264.3171059903221,235.5618556298561,260.0759997601492,100,0,0.8
9,226.04848750076872,257.3539062130028,228.81274033472698,259.5378035187385,234.03693925882283,262.984582565632,234.70465592123475,260.23332615374943,100,0,0.9
10,225.60676431760126,257.0334225105583,228.63488296458786,259.4010204548682,234.01198975963783,262.93700150630036,234.49761212016213,260.0240855731936,100,0,1.0
11,225.8825879542305,257.1329266691491,228.90629977909148,259.5345551088291,234.23621939673095,263.07325873298987,234.31762964823676,259.80247857538774,100,0,1.1
12,225.93275707586687,257.1689495215531,228.99768679385465,259.6050078112145,234.3534709043771,263.15526910366333,234.15177205068198,259.60812490771923,100,0,1.2000000000000002
13,225.72934171071518,257.0572236050337,228.71468027493825,259.43288626935936,234.2365849536158,263.07802772860776,233.98332809053153,259.4201765908458,100,0,1.3
14,226.06519181715947,257.1646151738545,229.0110008755671,259.5543027986911,234.42481841770115,263.1622699540984,233.83111895286606,259.2348287153231,100,0,1.4000000000000001
15,226.11181261650518,257.19797761831154,229.09221564413934,259.6136561609448,234.51258634633928,263.2124894657988,233.69235852178556,259.0717904538661,100,0,1.5
16,225.9022406230717,257.11692531235065,228.86534015686445,259.4543480827301,234.44847351398283,263.15803140601747,233.5624404347972,258.92331961921036,100,0,1.6
17,226.15348584550543,257.338672477108,229.22040101475088,259.7295341429828,234.39367551578388,263.06636085895855,232.67254831982706,257.9927527589973,100,0,1.7000000000000002
18,223.19720785542205,256.22224485207903,226.45941016425027,258.62916477020235,233.08314790534644,262.6538084981528,233.19025861177155,258.53836320200327,100,0,1.8
19,223.2071790739766,256.2088849165641,226.46512447704285,258.5903129725726,233.06807923772314,262.574601770101,233.074264743004,258.40114590299,100,0,1.9000000000000001
20,223.21821646812586,256.1985925196096,226.4817528922904,258.5690446499025,233.07855475908391,262.5379955503003,232.97620263145214,258.2881422306792,100,0,2.0
21,222.49445611159433,255.03886852046273,225.91925088237866,257.5841552279113,232.67230150360487,261.7939949151445,232.54827316502983,257.780768236124,100,0,2.4
22,223.82550863657673,256.61066769461263,227.1901968413936,259.05936508391517,233.39025192689823,262.63877679202056,232.46723385280774,257.7166657077224,100,0,2.8
23,224.12798378106928,256.86508594487725,227.3299086747199,259.1113638201394,233.24428396399773,262.3686752098305,232.29479271716235,257.52308743909293,100,0,3.2
24,223.81698780995785,256.77700892746446,227.10182157210633,258.99573472641515,232.94311261054264,262.0336661994352,232.17079778532948,257.38605131369457,100,0,3.6
25,223.89607614316643,256.8164772011822,227.0955676674977,258.9204137091538,232.5749663190932,261.5816282109842,232.0813053536778,257.2870212020192,100,0,4.0
26,223.79879716641244,256.7420731437561,227.0427269787588,258.9104098114669,230.67647777827327,259.55120118965283,231.09482121229522,256.25655686387154,100,0,4.4
27,223.52725800926532,256.5641001448061,226.66806339792555,258.5169996909646,231.38613789692855,260.25108347007455,231.27128735017726,256.42722724229213,100,0,4.800000000000001
28,223.53350096928736,256.51915824219776,226.36697138611834,258.1560034237165,230.69842066019913,259.476458450387,231.27128735017726,256.42722724229213,100,0,5.2
29,223.27508226747014,256.36965547179796,225.58017979580777,257.3459554373099,229.93595654572806,258.61880198039125,231.27128735017726,256.42722724229213,100,0,5.6
30,222.98113766532003,256.14749481582743,225.1311259483263,256.92632385907547,229.38888380701536,258.0046952140682,231.27128735017726,256.42722724229213,100,0,6.0
31,222.77659548502658,255.92527715142919,224.5725976602123,256.3345353186522,228.94394958371225,257.5017318938293,231.27128735017726,256.42722724229213,100,0,6.4
32,222.29088799482344,255.61212981635705,223.83175749507132,255.6575595630177,228.1873372161114,256.73918573437567,231.09482121229522,256.25655686387154,100,0,6.800000000000001
33,221.91853800900088,255.17865615183774,223.00223925150632,254.68043698780986,228.41083842040626,256.90220299672916,231.27128735017726,256.42722724229213,100,0,7.2
34,221.36702337433618,254.6568033446672,222.17991614621968,253.76191288718033,228.28030150587935,256.75759741172743,231.27128735017726,256.42722724229213,100,0,7.6000000000000005
35,220.79711654699582,254.18606611209606,221.37505961628702,253.00715943280616,227.99369583684353,256.51539019393215,231.0948212122952,256.25655686387154,100,0,8.0
36,217.25014113240246,250.49321799341269,217.73627872140042,248.80308404318498,226.91039831891834,255.275405299822,231.27128735017726,256.42722724229213,100,0,10.0
37,207.04362798558276,239.17626600383088,215.26589984006884,246.05428220706938,226.9252171519921,255.28373456084532,231.27128735017726,256.42722724229213,100,0,15.0
