thickness,twc,snowpack_index,06H,06V,10H,10V,19H,19V,37H,37V,01H,01V,thickness_dup,twc_dup,effective_permittivity_19,effective_permittivity_06
0.01,0.0,0,136.68773858783723,203.8148166893863,137.00350122422,197.2624264744395,147.53222364391974,195.80173238275512,180.88581000454013,210.89836917188762,125.48816142674404,192.96485938088577,0.01,0.0,(1.3621763091729202+0.00015711272849935334j),(1.3621762914247673+6.066240353226393e-05j)
0.01,0.02,1,144.6417913809262,207.87798910437948,150.37279200169883,204.81490385714258,166.16357475134893,208.01430954103915,196.9014583260233,222.86508157031494,125.58688601418899,193.33876657401768,0.01,0.02,(1.3815694116445785+0.018735003742999683j),(1.4003635457812604+0.01826806675893624j)
0.01,0.04,2,151.40132033822377,211.57858427080046,161.5234611429431,211.43658410119306,180.86693830126896,217.70639377981246,209.09766670290995,231.96057044581585,125.60146687389252,193.70402637147117,0.01,0.04,(1.3992914067339384+0.037310684831257684j),(1.436937603549963+0.03650557549944746j)
0.01,0.06,3,157.16324609370736,214.92444446873134,170.79515806925411,217.13067570035514,192.64376663923497,225.57838363687264,218.61551153641423,239.11499394433616,125.53597352162203,194.05770285360546,0.01,0.06,(1.417055382957454+0.055941169306456436j),(1.473611802148175+0.054801819902233956j)
0.01,0.08,4,162.08879436234722,217.9394263768949,178.4343159756353,221.87887718601272,202.16807392931398,232.06206389716502,226.11246224934666,244.8241743448091,125.39750170863566,194.39649114584543,0.01,0.08,(1.434861484941553+0.07462669554792767j),(1.5103865508676828+0.0731570790461159j)
0.01,0.1,5,165.87282538754351,220.07432682814144,184.97834924106255,226.1801175843815,209.64936284244254,237.06479364537998,232.0590111245378,249.43016031854006,125.20505941727953,194.7160353436473,0.01,0.1,(1.4527098579487694+0.09336750329731344j),(1.547262261218628+0.09157163375492632j)
0.01,0.12,6,169.51348110711655,222.53486591884584,190.48261012320643,229.95607391046352,216.04878022252518,241.63652483555134,236.8023314919846,253.18008989603206,124.96424527297964,195.01667921301257,0.01,0.12,(1.4706006478810136+0.11216383366817255j),(1.584239346944442+0.11004576661100561j)
0.01,0.14,7,172.6554827491538,224.7558329236688,195.09073920092152,233.10640114112394,221.3370939305141,245.5141421396061,240.09216441889203,255.62842864082901,124.68029156092564,195.29876252489856,0.01,0.14,(1.488534001282862+0.13101592915566693j),(1.621318224036905+0.1285797619688199j)
0.01,0.16,8,175.37175298897645,226.76592176161006,199.13341334061286,236.04807267351518,225.7298287256925,248.82698044357187,243.2000521424266,258.23352474155604,124.36467108451083,195.56231207533858,0.01,0.16,(1.506510065344864+0.14992403364632936j),(1.6584993107513228+0.14717390596870547j)
0.01,0.18,9,177.71777067175637,228.59080117039673,202.52313561833824,238.57264380521113,229.28614784146166,251.55317988478964,245.71085561459637,260.40436070847545,124.02125569996119,195.80832224535942,0.01,0.18,(1.5245289879068664+0.16888839242791276j),(1.6957830276218222+0.1658284865507388j)
0.01,0.2,10,179.7885349091516,230.27312118017474,205.63600354202154,241.04918081563628,232.45352327511856,254.13001494173642,247.7435495439752,262.2244463378037,123.65464775506982,196.03761017065867,0.01,0.2,(1.5425909174613588+0.18790925219932272j),(1.73316979747678+0.18454379346873614j)
0.01,0.22,11,181.67959376912478,231.895706409978,208.21859929197,243.09188038687736,235.10889692830884,256.35518081815997,249.39099642900194,263.7591451338609,123.27021963009064,196.2510411381693,0.01,0.22,(1.560696003156833+0.20698686108063288j),(1.770660045454365+0.20332011830438124j)
0.01,0.24,12,183.33106871696938,233.3747059955491,210.55102510898791,245.0764356461912,237.0898179438679,257.9273949615576,250.72613893765464,265.06000538998853,122.87127812199066,196.44945098616586,0.01,0.24,(1.5788443948011637+0.22612146862318488j),(1.808254199018214+0.22215775448148548j)
0.01,0.26,13,184.77610343008593,234.7272822818592,212.57124192387042,246.85963902638724,238.98345070511937,259.6362890624706,251.82483793984878,266.1898438401904,122.46096717902596,196.6336263105872,0.01,0.26,(1.5970362428650062+0.24531332581977375j),(1.845952687973228+0.2410569972803786j)
0.01,0.28,14,186.04105506105526,235.967211667384,214.32195600423233,248.4662797094706,240.57699697125213,261.1333109649159,252.73119677720848,267.1784038763666,122.04208146172346,196.80438930117606,0.01,0.28,(1.6152716984852142+0.2645626851149184j),(1.8837559444815009+0.2600181438524342j)
0.01,0.3,15,187.14964518835822,237.10713905556065,215.84039939157913,249.9182437092161,241.91548648260286,262.4477817500515,253.42344635389,267.97817448780256,121.6168634873601,196.9623388481441,0.01,0.3,(1.633550913468276+0.2838698004152196j),(1.9216644030783756+0.27904149323473065j)
0.01,0.32,16,188.1235049485521,238.1591116442682,217.154980148482,251.23233108551577,243.03662985478005,263.6042756695757,253.99075326598035,268.68793244057923,121.18732912008451,197.108157253424,0.01,0.32,(1.6518740402937655+0.3032349270998059j),(1.9596785006886293+0.29812734636484756j)
0.01,0.34,17,188.97777753350059,239.130996786052,218.29151946319956,252.42389360196978,243.96980813609224,264.62236909630695,254.43752137430195,269.300026112751,120.75531833919919,197.24262928601155,0.01,0.34,(1.670241232117818+0.32265832203086636j),(1.9977986766427924+0.31727600609580153j)
0.01,0.36,18,189.72769065515627,240.031277753804,219.2718627066965,253.5060722007958,244.7407728391749,265.5190782916961,254.7830466055857,269.82872091481244,120.32206739859735,197.36604935655487,0.01,0.36,(1.688652642776621+0.3421402435642749j),(2.0360253726935995+0.3364877772111201j)
0.01,0.38,19,190.38612217554441,240.86720059042966,220.11463026061085,254.49015976039004,245.370807700836,266.3086381083787,255.0431974241816,270.28591369373146,119.88899487048093,197.47919987946668,0.01,0.38,(1.7071084267899252+0.3616809515603026j),(2.0743590330325707+0.3557629664400579j)
0.01,0.4,20,190.9669091868703,241.64765497691755,220.83898522389262,255.38867228884257,245.6632432415562,266.6818242500979,254.8847672781497,270.241880137714,119.45702608386199,197.58238447011928,0.01,0.4,(1.7256087393645738+0.38128070739442355j),(2.112800104306738+0.37510188247295584j)
0.01,0.42,21,191.47511285951512,242.3739182626171,221.2740279263703,255.91287238544146,246.0732029606426,267.306222090863,255.03910755276922,270.61862176882164,119.02707382022669,197.67610062495092,0.01,0.42,(1.7441537363980515+0.4009397739682098j),(2.1513490356354934+0.39450483597674224j)
0.01,0.44,22,191.92066136979227,243.0523533634947,221.7975498501715,256.6639235403987,246.38819861735752,267.8543695055349,255.13806333462836,270.9455512967317,118.60004767337675,197.76101429150305,0.01,0.44,(1.7627435744820517+0.4206584157203217j),(2.1900062786275876+0.413972139610582j)
0.01,0.46,23,192.3131670771557,243.6898248554441,222.23529192353385,257.3488187222227,246.61882188012612,268.3334603736866,255.18926651373857,271.2286956331092,118.17639463232818,197.8372212177756,0.01,0.46,(1.781378410906067+0.44043689863759117j),(2.2287722873982654+0.43350410804167255j)
0.01,0.48,24,192.65527046084622,244.2861239120375,222.59913580148725,257.97633561547264,246.77467052215408,268.7502167739856,255.1990996529935,271.47314046894314,117.7567237972033,197.90521973065705,0.01,0.48,(1.8000584036609912+0.46027549026619885j),(2.2676475185865335+0.45310105796118766j)
0.02,0.0,0,136.68773858783706,203.81481668938613,137.00350122421995,197.26242647443937,147.53222364391976,195.8017323827551,180.8858100045401,210.89836917188757,125.48816142674397,192.96485938088549,0.02,0.0,,
0.02,0.02,1,145.01316562429093,207.86640722945728,150.74202845254027,204.83828933170142,166.41670596530668,207.95602974785643,197.19926988818668,222.9697942197403,125.83419457727105,193.30097997907433,0.02,0.02,,
0.02,0.04,2,152.3888730168266,211.5981538142451,162.51647263191322,211.55578049946962,181.6125583796498,217.87932589149332,209.60458175749238,232.13393171473874,126.14411913933,193.6280938585866,0.02,0.04,,
0.02,0.06,3,158.9532478516499,215.039695241881,172.44788798939166,217.2207090292627,193.89094743885022,225.87619438147257,219.32841225075597,239.31993160995202,126.41600133355762,193.9516033302889,0.02,0.06,,
0.02,0.08,4,164.40464254504525,217.61426351981333,181.09500323773727,222.36085177921822,203.92436436409085,232.47982619550643,227.02459164590636,245.05032245022392,126.65257094931151,194.2693815061422,0.02,0.08,,
0.02,0.1,5,169.6626434320571,220.56022409472396,188.55502336335024,226.88837411744697,211.89138964344875,237.5925996491893,233.15177443189415,249.6628404112006,126.85622419843949,194.57998021544782,0.02,0.1,,
0.02,0.12,6,174.38021612762685,223.27948220548612,194.903681512518,230.72768924252048,218.73035228484937,242.24255464666348,238.05250787890748,253.4031058365115,127.02916011851543,194.8824365619972,0.02,0.12,,
0.02,0.14,7,178.6223561111437,225.79251280796498,200.5327971755248,234.2988353606109,224.41007110086582,246.1729620650131,241.4865239700993,255.843205278187,127.16639694772734,195.17797888732886,0.02,0.14,,
0.02,0.16,8,182.4447489671491,228.11814660554555,205.44781378536118,237.4872471228359,229.1478836854146,249.5157274914815,244.70977229414484,258.4130750232976,127.28184382773031,195.46288498894575,0.02,0.16,,
0.02,0.18,9,185.83402018734463,230.2884858346608,209.64032635486177,240.1787757566602,233.11609926958582,252.3752192447018,247.3188371940182,260.5384526507031,127.373831853319,195.73815026955793,0.02,0.18,,
0.02,0.2,10,188.94801599710786,232.28947643881415,213.42924265049027,242.75760576934053,236.18244931876168,254.45886488265057,249.43669723215402,262.3058372994524,127.44327512805457,196.0040125744638,0.02,0.2,,
0.02,0.22,11,191.77427144826217,234.14795452305813,216.72251214140024,245.09588205105396,239.01720990131923,256.61349619081625,251.16009596540587,263.7834462856083,127.49168269572432,196.26061925251068,0.02,0.22,,
0.02,0.24,12,194.34045427686794,235.87749771925445,219.66613254041945,247.20506376466327,241.41704731890223,258.486806500854,252.56548138055874,265.02539943385426,127.52054536481589,196.5081646396734,0.02,0.24,,
0.02,0.26,13,196.67274046447568,237.48968925494455,222.27820814985938,249.1193525286201,243.45421118996055,260.1232869898763,253.7135060999876,266.0748501074719,127.53129194628461,196.74688257531471,0.02,0.26,,
0.02,0.28,14,198.79442272975055,238.994803935398,224.59644542997702,250.86254561976426,245.1875237308357,261.55936735518424,254.6524686255547,266.966361843788,127.52082140479918,196.97741726300248,0.02,0.28,,
0.02,0.3,15,200.72611890179965,240.40201480104625,226.4612968064165,252.16151811977144,246.66509049846687,262.82502260186953,255.42096348653615,267.7277317514612,127.49934605113164,197.19919495603116,0.02,0.3,,
0.02,0.32,16,202.48608998447898,241.71953472643926,228.301358184069,253.62909651931804,247.92642438251062,263.9450308763522,256.0499337710326,268.38140103232655,127.4640192133408,197.41295967385227,0.02,0.32,,
0.02,0.34,17,204.07803377624163,242.95615085082488,229.81204206390177,254.82459357632794,248.7784026147272,264.63678081502627,256.5642683650263,268.9455533196088,127.4157874385875,197.61903094437304,0.02,0.34,,
0.02,0.36,18,205.54488101489176,244.1151397273078,231.3320831338275,256.13504865318623,249.65990144070136,265.4726457396151,256.9840500145896,269.43497459659005,127.35563673163412,197.8177122991275,0.02,0.36,,
0.02,0.38,19,206.88527095638145,245.2043230615512,232.59244276239258,257.1965781118925,250.4923114596132,266.31972814032565,256.9967007947949,269.45569134402615,127.284516221026,198.0092978469291,0.02,0.38,,
0.02,0.4,20,208.1340604247993,246.25498373368535,233.805604093572,258.309426814022,251.2031646363212,267.07659038287227,257.30401765315867,269.8673807888985,127.2029743775675,198.19406418963976,0.02,0.4,,
0.02,0.42,21,209.31328305059748,247.28352532488066,234.88811392491834,259.33544940163216,251.81037727844466,267.7556018119383,257.55385048448323,270.2305939081101,127.11311000979319,198.37231945436827,0.02,0.42,,
0.02,0.44,22,210.3916133575438,248.25127824480793,235.85240736954324,260.2828985120707,252.32766217111865,268.3667406032536,257.7553214316253,270.5524318988953,127.01510933289761,198.5443352217446,0.02,0.44,,
0.02,0.46,23,211.37754551819393,249.16277288917536,236.61753707479374,261.0149263008402,252.76665647708106,268.91822498078153,257.91592797081483,270.8387904027219,126.90962710199133,198.71036975570598,0.02,0.46,,
0.02,0.48,24,212.27872180175214,250.02211537805945,237.38254307014407,261.82998296277833,252.93832412760372,269.12893766783867,258.041852156334,271.09458078084566,126.79734512128843,198.87067141105342,0.02,0.48,,
0.05,0.0,0,136.6877385878372,203.81481668938628,137.0035012242197,197.2624264744394,147.5322236439198,195.80173238275498,180.88581000454005,210.89836917188745,125.48816142674403,192.96485938088543,0.05,0.0,,
0.05,0.02,1,145.26482601998032,207.80618919326645,150.98065561858712,204.7615853672775,166.77423610672258,208.1262101354905,197.81682657616656,223.4072182293767,125.98913928999484,193.27872313193015,0.05,0.02,,
0.05,0.04,2,153.00555430993313,211.59337095010724,163.15607268585515,211.62220674317908,182.11679488550635,217.8808356611043,210.2196740850276,232.44630311527172,126.46502196068607,193.58804901683175,0.05,0.04,,
0.05,0.06,3,160.04051863045447,215.04739078802936,173.5417318877146,217.34707250767872,194.73076388774928,226.09076496084327,220.0061274675811,239.58812751483958,126.92486546502847,193.88977803776334,0.05,0.06,,
0.05,0.08,4,166.04031949470544,217.6589080870782,182.68591124752064,222.5547786156929,204.732568859513,232.31738492976854,227.77803281183932,245.28916021164693,127.36973947455795,194.18983025448046,0.05,0.08,,
0.05,0.1,5,171.90097036200137,220.65775403867093,190.53258708481212,226.97598160263072,213.25749348971388,237.88098952870146,233.99318133966142,249.94355635892038,127.8001612819726,194.48775218151823,0.05,0.1,,
0.05,0.12,6,177.25726960694587,223.44650482326264,197.50072838437015,231.05569491981691,220.31187151534812,242.53383560604644,238.95273491819086,253.6493977940486,128.21658660835587,194.78316067083014,0.05,0.12,,
0.05,0.14,7,182.16064152960988,226.04306613707945,203.60435794430452,234.67972446489392,226.16756896390316,246.44353566843316,242.44208625739728,256.0581779271233,128.6194309361935,195.07573647239488,0.05,0.14,,
0.05,0.16,8,186.6565158145267,228.4637422148789,208.84768738485582,237.74136094746711,231.0423635715143,249.74293054927173,245.70430080609566,258.57998710980354,129.00908112321056,195.36521460065,0.05,0.16,,
0.05,0.18,9,190.78507611206825,230.7233419078688,213.5721025168135,240.63642601411354,235.11178103105232,252.5386061861626,248.3432966700827,260.6513364750829,129.38590266672028,195.65137631703243,0.05,0.18,,
0.05,0.2,10,194.58191877348,232.83529636868963,217.7406521827116,243.23105928155738,238.2595639101676,254.5624700129555,250.48371314475344,262.3599064081999,129.7502445419391,195.93404256520955,0.05,0.2,,
0.05,0.22,11,198.07862793110036,234.8117787288193,221.42703679217215,245.56289664987474,241.13993667672108,256.62365948120663,252.22408843001205,263.7751503227629,130.1024425355882,196.21306850951436,0.05,0.22,,
0.05,0.24,12,201.30327570928822,236.66381999745758,224.69412778712072,247.6642552349986,243.5647519052792,258.3922073484232,253.64260127553916,264.9523755181394,130.44282158745773,196.48833892347702,0.05,0.24,,
0.05,0.26,13,204.2808566301165,238.40141815669347,227.39732592735731,249.27766320335684,245.6112615153844,259.91562681978513,254.80146382736214,265.9358121141017,130.77169745226226,196.7597642534589,0.05,0.26,,
0.05,0.28,14,207.03366470762901,240.03363906935982,229.99005187942285,251.01287267562597,247.34282619859914,261.2331131776264,255.75031491836648,266.76096018949926,131.08937788402105,197.0272772322803,0.05,0.28,,
0.05,0.3,15,209.58162087117643,241.56870876481074,232.20210935140236,252.445038842403,248.58622104456217,262.06862364715664,256.52885915953516,267.4564054795438,131.39616347942584,197.2908299494585,0.05,0.3,,
0.05,0.32,16,211.9425574514267,243.01409720616672,234.27312912744046,253.88804279619134,249.85333413163752,263.091114908927,257.1689299110436,268.04523548226837,131.6923482752922,197.550391305783,0.05,0.32,,
0.05,0.34,17,214.13246559666396,244.37659393784423,236.12694678307233,255.20560219526004,250.93438694419922,263.9871781827744,257.69610828344975,268.5461506642498,131.9782201677821,197.80594479470327,0.05,0.34,,
0.05,0.36,18,216.16571069876485,245.6623761627187,237.69119087078562,256.2701407393314,251.8589043594521,264.77572199131754,257.79848933503393,268.5711208725426,132.23529836296228,198.06236504149032,0.05,0.36,,
0.05,0.38,19,218.0552202086379,246.87706986228335,239.1887406381391,257.38333273552666,252.6513948022406,265.47257239722813,258.1921886750469,268.9808238158537,132.49944636652876,198.31018365991494,0.05,0.38,,
0.05,0.4,20,219.81264760897758,248.02580458585632,240.53575835792444,258.407034953637,253.33224667734515,266.09100741540533,258.520008886761,269.33579189856465,132.75481120381352,198.55381540572304,0.05,0.4,,
0.05,0.42,21,221.44851578173402,249.1132625177487,241.74904284277702,259.3505394945831,253.71867339060384,266.3683940475708,258.7932672289571,269.64479601949466,133.0013396656503,198.7933775822427,0.05,0.42,,
0.05,0.44,22,222.54119168682047,249.65182106007805,242.84325737907457,260.22201653926504,254.23989020643637,266.88280090874997,259.02119360481555,269.91507225778827,133.23918575122107,199.0289360396454,0.05,0.44,,
0.05,0.46,23,223.96274486397834,250.6440658463934,243.8312277271498,261.0286640010766,254.69124760723827,267.345530377192,259.2113352559817,270.15260835883333,133.46854987705845,199.2605476715286,0.05,0.46,,
0.05,0.48,24,225.29438477278018,251.58466488163577,244.56130679076955,261.5398044546628,255.08283867979563,267.76348225200695,259.36987997814765,270.3623740147413,133.68964709826975,199.48826832082236,0.05,0.48,,
0.1,0.0,0,136.6877385878371,203.81481668938613,137.00350122421986,197.2624264744394,147.53222364391974,195.80173238275503,180.88581000454005,210.89836917188742,125.48816142674391,192.96485938088577,0.1,0.0,,
0.1,0.02,1,145.41177965359074,207.845701150616,151.19150029681091,204.85594200815203,167.16551598958796,208.37911587378045,198.71767778478218,224.11347175377898,126.06322147022516,193.28529921641393,0.1,0.02,,
0.1,0.04,2,153.274368126547,211.50268161825934,163.42317778607386,211.51438349516704,182.54339621328938,218.11556045790095,211.0081845190138,233.0379888732293,126.59407006182994,193.57203126445177,0.1,0.04,,
0.1,0.06,3,160.22214613309384,214.69515885430042,173.95267301666496,217.18409549161672,195.1545533179734,226.1180694475561,220.71794926994164,240.092255507567,127.15945825824642,193.94138992569341,0.1,0.06,,
0.1,0.08,4,166.65807703379505,217.69432360402857,183.08636150036418,222.31976693164006,205.22860933137318,232.3210278585937,228.43498916727955,245.72215833818657,127.67068307261441,194.22762861033183,0.1,0.08,,
0.1,0.1,5,172.74797440696574,220.73771996413117,191.3147610540403,227.1044737063408,213.82425356918108,237.8719523159906,234.59471641973818,250.24608386371298,128.1743020417544,194.5146872707041,0.1,0.1,,
0.1,0.12,6,178.3113179824333,223.52708424513912,198.47911108980352,231.26183029489408,220.50246513500016,241.99479651574705,238.99279188276813,253.24903975185782,128.66993479478782,194.8012717152758,0.1,0.12,,
0.1,0.14,7,183.41560991352412,226.1121354493148,204.72563591346514,234.8946772882319,226.70128190681703,246.367656419844,243.0001153510932,256.26902588959734,129.1573766758034,195.08662189415367,0.1,0.14,,
0.1,0.16,8,188.10750047278768,228.51615967885638,210.08402006149484,237.94098752135136,231.69847211742157,249.79447237014128,246.24465893033423,258.74975949707306,129.6366448485797,195.3703888209636,0.1,0.16,,
0.1,0.18,9,192.42604982695772,230.75591737012064,214.89839132732172,240.80082475207553,235.81855914373006,252.61684808437806,248.86793708166186,260.782275745403,130.10783763026876,195.65238422253495,0.1,0.18,,
0.1,0.2,10,196.40555398305918,232.8454109732886,219.13667664653187,243.34883219337257,238.98831692499078,254.6347078638788,250.46667363290345,261.7634749467775,130.5710837673192,195.9324915957832,0.1,0.2,,
0.1,0.22,11,200.076586372755,234.79696682836806,222.87457282325616,245.62495472050352,241.86422695980184,256.6563576996905,252.451019983287,263.5111455052253,131.02652305538456,196.2106312854029,0.1,0.22,,
0.1,0.24,12,203.46657117529153,236.62165879820995,225.9735047128831,247.37421537488362,244.27128435340538,258.3721439000555,253.96369840902707,264.8059620558156,131.4742983032924,196.48674506240624,0.1,0.24,,
0.1,0.26,13,206.60018560588384,238.32952402786532,228.90738220979625,249.2201375778247,246.2910649242642,259.8346625529527,255.16707999239895,265.83515629753833,131.91455181916473,196.76078858640668,0.1,0.26,,
0.1,0.28,14,209.49967897568658,239.92969900270072,231.40672550395092,250.73677321623833,247.98985539545146,261.0861202716777,256.138071643493,266.67310032437433,132.3474238499966,197.0327273789117,0.1,0.28,,
0.1,0.3,15,212.18514078282652,241.43051943151494,233.72189622610685,252.24211851859434,249.20636876799057,261.8695941854759,256.9274753249518,267.3641837992286,132.773051915836,197.3025344900454,0.1,0.3,,
0.1,0.32,16,214.67473228726726,242.83960087479014,235.7810826318874,253.60228342720595,250.4347272069208,262.82131601443217,257.57249781515355,267.93914903484756,133.1915705689925,197.5701890386219,0.1,0.32,,
0.1,0.34,17,216.98488935093448,244.16390746864107,237.5179315617024,254.69602132135446,251.4759876861307,263.64569452046464,258.1015903551529,268.4207984021127,133.60311135781987,197.83567522967107,0.1,0.34,,
0.1,0.36,18,219.13050144944083,245.40981227571748,239.1600732394785,255.82137783324072,252.36067543923653,264.3623708832046,258.21746644164335,268.44220086908086,134.00780288717314,198.09898164717177,0.1,0.36,,
0.1,0.38,19,221.1250703456702,246.58315113987481,240.62775303810633,256.8449123300052,253.11408336818096,264.98773054078407,258.6108686099897,268.82737999313565,134.40577092124803,198.36010071367133,0.1,0.38,,
0.1,0.4,20,222.6303319855402,247.18647412172479,241.9415455049614,257.7778414026654,253.5557377580993,265.2647455670106,258.93849136374644,269.1570137948935,134.797138501123,198.61902825627786,0.1,0.4,,
0.1,0.42,21,224.36986220121784,248.24665692875976,242.94576331490597,258.38530605475455,254.12296346195842,265.76939001385796,259.21199580425343,269.44041905360234,135.18202606305792,198.87576314400167,0.1,0.42,,
0.1,0.44,22,225.9913906267643,249.24831105517475,244.0128045747387,259.1788474267597,254.61043345730164,266.2155399984942,259.4408131522032,269.68517877963126,135.56055155075623,199.1303069754609,0.1,0.44,,
0.1,0.46,23,227.50415619503056,250.195601412756,244.97275498823677,259.9071478217749,255.0304237727371,266.6115295588886,259.632601947244,269.89750127783964,135.9328305186649,199.38266380400643,0.1,0.46,,
0.1,0.48,24,228.9165767933971,251.09235414095465,245.75611890155523,260.4622288742463,255.39320442896604,266.9644056196659,259.7936037736157,270.0824949163144,136.2989762253986,199.63283989197637,0.1,0.48,,
0.5,0.0,0,136.6877385878371,203.81481668938613,137.00350122421986,197.2624264744394,147.53222364391974,195.80173238275503,180.88581000454005,210.89836917188742,125.48816142674391,192.96485938088577,0.5,0.0,,
0.5,0.02,1,145.96957927169186,208.27517879048764,152.38479291041267,205.9671036398958,170.10057716655004,211.10475898359988,206.17898752140573,230.82604748539225,126.26826092030522,193.35856747544176,0.5,0.02,,
0.5,0.04,2,153.73077943783537,211.90347465854887,164.29532827908335,212.51150387744852,184.620096448013,220.35377003308236,216.63568774404732,238.36840178746095,126.83888124178854,193.63535163791528,0.5,0.04,,
0.5,0.06,3,160.87947024057814,215.27006850969343,174.59359456396888,218.06302629049878,196.58958157198072,227.9295153966708,224.97125163724635,244.34083754951314,127.406157559302,193.9121525537908,0.5,0.06,,
0.5,0.08,4,167.0681374344681,217.81968356151367,183.7459526615019,223.13024170972741,206.19866635442523,233.78227800653647,231.65454046233862,249.11739335377476,127.97551716409336,194.19729522834143,0.5,0.08,,
0.5,0.1,5,173.17474612832646,220.7791120890938,191.66557586750704,227.44107326598362,214.45629603865427,239.03822144798255,237.03469363489148,252.96331634377117,128.5075007213706,194.42986808594122,0.5,0.1,,
0.5,0.12,6,178.7927749069289,223.51790350995097,198.7404881637648,231.42416645596188,221.33001308205823,243.43438223820561,240.86503548953476,255.4530992767456,129.0629952432124,194.70339914706193,0.5,0.12,,
0.5,0.14,7,183.82775657540463,225.82649724491307,204.83545990930932,234.77359825090514,227.06123479457978,247.12235083985655,244.43948667697305,258.0512418083141,129.61222493682612,194.97214846012884,0.5,0.14,,
0.5,0.16,8,188.58770367457743,228.1565605613482,210.2154970310792,237.77041582973544,231.84595674796583,250.22243845268906,247.34443879988353,260.1742966593652,130.1574310130901,195.23934285385167,0.5,0.16,,
0.5,0.18,9,192.97912185939012,230.3223294812852,214.9332276295642,240.376871101013,235.56968185360265,252.45848369379064,249.71070325208484,261.9147992399796,130.7011951806535,195.50693936266129,0.5,0.18,,
0.5,0.2,10,197.0319986797089,232.3363362726871,219.17266084007096,242.8331113001076,238.93591176071683,254.68711737666416,251.6424928636554,263.3461029704952,131.23992568085635,195.77330455617096,0.5,0.2,,
0.5,0.22,11,200.77400838105123,234.2104050733954,222.69809119550254,244.7174600131725,241.7476152382064,256.55712475361827,253.22312124180314,264.52669859218145,131.75057528374813,195.9893449088208,0.5,0.22,,
0.5,0.24,12,204.22982676373846,235.9544463274377,226.01051896531385,246.68325727774297,244.08340953576987,258.1063107766717,254.51937334544687,265.5034314508413,132.3209539356736,196.31885502717182,0.5,0.24,,
0.5,0.26,13,207.42259746075146,237.5783358418386,228.83129785342703,248.28876225227467,245.97890987336314,259.3237496528678,255.58490088631007,266.3139495104607,132.85187658169474,196.58514358356854,0.5,0.26,,
0.5,0.28,14,210.37335561953108,239.09078899758543,231.42476883610715,249.8642771086085,247.49003638298035,260.2526531364301,256.462883722866,266.98859395748707,133.38553571096386,196.86014414085938,0.5,0.28,,
0.5,0.3,15,213.11225250037648,240.51137739620762,233.61355616885962,251.12470083059065,248.936172742573,261.28350528727583,257.1881285792157,267.55187411674746,133.90602650595932,197.11822288244335,0.5,0.3,,
0.5,0.32,16,215.6345698206295,241.8250156387655,235.6527172999197,252.39561128772607,250.15989871845946,262.1675495424913,257.4156136174976,267.5784112785203,134.4252698803129,197.37903531742162,0.5,0.32,,
0.5,0.34,17,217.59270292247285,242.5207265443197,237.46056589573482,253.53506787902865,251.1972440380768,262.9274588030513,257.9551148703921,268.0240650750463,134.93845421073803,197.63742657179824,0.5,0.34,,
0.5,0.36,18,219.76804965037505,243.68685200696825,239.06464283376502,254.5576854202939,251.84666860064922,263.27424181073343,258.4065160346569,268.40176963196154,135.4623681300691,197.91368846071987,0.5,0.36,,
0.5,0.38,19,221.7829142399124,244.77631243822302,240.30203890356026,255.21694228787925,252.61703750943732,263.8681634712983,258.78508836688275,268.7225930196053,135.9724730113999,198.17500546676558,0.5,0.38,,
0.5,0.4,20,223.65030672760034,245.79497191139694,241.58513816080116,256.06656516985646,253.27505071526,264.3836644566352,259.1030025270126,268.99522084942157,136.47842183780787,198.43329850263774,0.5,0.4,,
0.5,0.42,21,225.38378613540334,246.7500602882708,242.63246194536208,256.70294059024974,253.83831584843543,264.8322618483954,259.3691040733881,269.2252001773978,136.9770544739245,198.68634599115032,0.5,0.42,,
0.5,0.44,22,226.98862675856796,247.64121634606468,243.65189666622354,257.39775599622396,254.3215660919636,265.22367575571866,259.5822176682936,269.40342028059086,137.46673285522286,198.92580778342176,0.5,0.44,,
0.5,0.46,23,228.47776739508905,248.47584067294065,244.47194618945525,257.9033873505773,254.54547635172557,265.3145122231352,259.8195235965071,269.6406768321188,137.96007274997976,199.17704942106738,0.5,0.46,,
0.5,0.48,24,229.85760504610323,249.25439772082385,245.29037713028657,258.4806784834178,254.92081030092365,265.63800155957756,259.98661510074714,269.7938612612039,138.45010745745228,199.42817941683097,0.5,0.48,,
